num,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,sort
2995,0.5045,0.5045,0.4767,0.4812,-0.0242,-0.0301,0.027,0.0409,0.0537,0.0503,-0.0442,-0.0463,0.0088,0.0156,0.0232,0.0145,-0.0401,-0.0427,-0.0157,-0.0095,-0.0188,-0.0341,-0.0041,-0.002,0.0141,0.0173,0.0031,-0.0034,2
2996,0.5043,0.5051,0.5096,0.5425,-0.0173,-0.0293,0.0342,0.0429,0.0615,0.0551,-0.044,-0.0462,0.0087,0.0174,0.0242,0.0125,-0.042,-0.0459,-0.016,-0.016,-0.0186,-0.0314,-0.0051,-0.0024,0.0097,0.007,0.0036,-0.0027,2
2997,0.5043,0.505,0.5921,0.611,-0.0133,-0.0208,0.0386,0.0492,0.0659,0.0559,-0.0421,-0.0421,0.0138,0.0155,0.019,0.0094,-0.0412,-0.0437,-0.0189,-0.0144,-0.0165,-0.032,-0.0104,-0.005,0.0091,0.0109,0.0044,-0.0027,2
2998,0.5047,0.5045,0.6126,0.6534,-0.0033,-0.0117,0.0485,0.0555,0.069,0.063,-0.0411,-0.0439,0.0052,0.0143,0.0162,0.0077,-0.0386,-0.0467,-0.0129,-0.0151,-0.0172,-0.0361,-0.0135,-0.0051,0.0069,0.0073,0.0026,-0.0026,2
2999,0.5013,0.5013,0.658,0.6451,-0.0039,-0.0172,0.0368,0.0532,0.0635,0.0576,-0.0402,-0.0491,0.0077,0.0139,0.0209,0.0076,-0.0518,-0.041,-0.0212,-0.0115,-0.0197,-0.027,-0.0002,-0.0048,0.0053,0.0133,0.0047,0.0001,2
3000,0.5011,0.5019,0.6407,0.6358,-0.007,-0.0141,0.0429,0.0539,0.0619,0.0548,-0.0404,-0.0389,0.0086,0.014,0.01,0.0098,-0.0509,-0.0451,-0.0187,-0.0162,-0.0155,-0.0277,-0.002,-0.0039,0.011,0.0084,0.0039,-0.0018,2
3001,0.5011,0.5018,0.6364,0.6555,-0.0043,-0.0192,0.0451,0.0511,0.0597,0.0602,-0.0397,-0.041,0.0098,0.0142,0.0194,0.0033,-0.0517,-0.0455,-0.0174,-0.0206,-0.0194,-0.0273,-0.0074,-0.0048,0.0028,0.0069,0.0033,-0.0053,2
3002,0.5015,0.5016,0.6794,0.6522,-0.0043,-0.0117,0.0462,0.0514,0.0584,0.0604,-0.04,-0.0437,0.0079,0.0143,0.0206,0.0071,-0.0461,-0.0427,-0.0254,-0.0135,-0.0193,-0.0304,-0.0022,-0.0037,0.0048,0.0086,0.0048,-0.0009,2
3003,0.5013,0.5014,0.6446,0.6407,-0.0019,-0.0145,0.0469,0.0514,0.0564,0.0568,-0.0393,-0.0419,0.0093,0.0148,0.0144,0.0115,-0.0485,-0.0421,-0.0196,-0.0207,-0.0194,-0.0226,-0.0036,-0.0042,0.0045,0.0131,0.0053,0.0009,2
3004,0.5011,0.5016,0.612,0.6922,-0.0042,-0.0152,0.0463,0.0527,0.0535,0.0597,-0.0401,-0.0391,0.0053,0.0152,0.0194,0.0146,-0.0439,-0.0429,-0.0166,-0.011,-0.0168,-0.0293,-0.0053,-0.0052,0.0047,0.0129,0.0036,0.0012,2
